name,score,developer,publisher,owners,players_forever,players_2weeks,score_ratio(+to-),days_since_sale,average_days_per_sale,average_days_per_sale_variance
,,,,,,,,,,
Boinks,,Born in 1978,Born in 1978,1589,795,0,0,73,0,-1
,,,,,,,,,,
Waves 2,82,Squid In A Box Ltd,Squid In A Box Ltd,2346,2346,781,12.5,42,56.9,90.6
,,,,,,,,,,
Triangulate,,Left Flank Games,Left Flank Games,795,0,0,0,108,77,0
,,,,,,,,,,
Goblin Gearshop,39,Minus2,Minus2,32558,22318,16017,3.3,-1,0,-1
,,,,,,,,,,
Fiery Disaster,10,VogelfÌ_nger,VogelfÌ_nger,3938,2363,790,1.1,232,58,25
,,,,,,,,,,
Ankh 3: Battle of the Gods,9,Deck 13,Strategy First,19692,3151,0,1,108,58,399.09
,,,,,,,,,,
iRacing,56,"iRacing.com Motorsport Simulations, iRacing","iRacing.com Motorsport Simulations, iRacing",25994,24156,3676,5.66,229,123.83,310.56
,,,,,,,,,,
2 Planets Fire and Ice,,rokaplay,rokaplay,4726,1589,0,0,18,54.33,156.48
,,,,,,,,,,
Combat Core,47,MABManZ,MABManZ,4953,1564,0,4,106,72.33,12.52
,,,,,,,,,,
Log Challenge,,CGPills,CGPills,795,0,0,0,-1,0,-1
,,,,,,,,,,
Masked Forces,22,FreezeNova,FreezeNova,17726,11731,781,1.9,108,48.29,21.56
,,,,,,,,,,
Mastema: Out of Hell,25,Oscar Celestini,Forever Entertainment S. A.,5996,3650,784,2.18,53,59,33.8
,,,,,,,,,,
Sweaty Palms,,Delattre & Harger,Delattre & Harger,1172,1172,0,0,94,0,-1
,,,,,,,,,,
Oblitus,9,Connor Ullmann,Adult Swim Games,10949,5996,778,1.06,186,99.44,3.43
,,,,,,,,,,
Subject A-119,,Tom Heek,Tom Heek,795,0,0,0,110,141,0
,,,,,,,,,,
H1Z1,17,Daybreak Game Company,Daybreak Game Company,8214132,7052537,684511,1.6,85,64.33,1059.86
,,,,,,,,,,
Armored Evolution,,Burst2Flame Entertainment,New Reality Games,785,0,0,0,12,0,-1
,,,,,,,,,,
Agricultural Simulator 2011: Extended Edition,9,"United Independent Entertainment GmbH, Actalogic",Libredia,54351,35184,0,1.04,108,128.21,1103.37
,,,,,,,,,,
DepthMera,,David Sof,David Sof,2607,785,0,0,151,0,-1
,,,,,,,,,,
SnappleNoid,25,Verymax,Verymax,2101,0,0,2.2,108,37,0
,,,,,,,,,,
Zulu Response,6,Web Interactive Solutions,Web Interactive Solutions,1313,1313,0,0.82,-1,0,-1
,,,,,,,,,,
Probably Archery,7,South East Games,South East Games,58654,40145,0,0.87,108,226.67,1462.24
,,,,,,,,,,
Armikrog,9,Pencil Test Studios,Versus Evil,32033,24419,0,1.04,226,107.86,569.57
,,,,,,,,,,
Wake,1,Boss Baddie,Boss Baddie,46141,27372,0,0.43,-1,0,-1
,,,,,,,,,,
Crystal Catacombs,7,"Levels or Lives, Super Fun Games",Crescent Moon Games,30458,4989,790,0.89,410,156,400
,,,,,,,,,,
Pathologic Classic HD,67,"Ice-Pick Lodge, General Arcade",Good Shepherd Entertainment,86025,49008,1303,7.77,43,46.41,6.38
,,,,,,,,,,
GUNS UP!,21,"Valkyrie Entertainment, LLC","PlayStation Mobile, Inc.",368643,304315,20218,1.8,-1,0,-1
,,,,,,,,,,
A Matter of Murder,100,Worthing & Moncrieff,Worthing & Moncrieff,1578,789,0,24,106,181,2738
,,,,,,,,,,
FLAMBERGE,95,Hydezeke,Hydezeke,3938,2888,784,28.5,1051,0,-1
,,,,,,,,,,
Avernum 2: Crystal Souls,56,Spiderweb Software,Spiderweb Software,88747,17329,790,5.5,43,42.8,58.37
,,,,,,,,,,
2Dark,39,Gloomywood,Bigben Interactive,8927,4989,0,3.32,79,51.4,36.99
,,,,,,,,,,
Malkia,,Sports interactive,SEGA,1838,1568,0,0,-1,0,-1
,,,,,,,,,,
The Last Vampire,,TSS Studio,TSS Studio,6564,0,0,0,-1,0,-1
,,,,,,,,,,
Mini Guns,12,"Riposte Games & Co, Inc","Riposte Games & Co, Inc",69055,55664,3938,1.23,-1,0,-1
,,,,,,,,,,
Epic Battle Simulator 2,,Rappid Studios,Rappid Studios,1050,1050,1570,0,-1,0,-1
,,,,,,,,,,
TransOcean: The Shipping Company,25,Deck13 Hamburg,astragon Entertainment GmbH,145987,99250,1313,2.15,137,60.67,0.62
,,,,,,,,,,
Strategy & Tactics: Dark Ages,27,HeroCraft,HeroCraft,17592,8927,1313,2.27,107,76.75,3.52
,,,,,,,,,,
Puzzle Sages,4,Aric Morrow,Aric Morrow,1974,790,0,0.67,410,323,0
,,,,,,,,,,
The Tiny Bang Story,71,Colibri Games,Colibri Games,205590,132334,1838,8.82,32,59.24,2.32
,,,,,,,,,,
Train Fever,21,Urban Games,Good Shepherd Entertainment,196925,180908,4201,1.8,144,46.12,206.67
,,,,,,,,,,
Tiles & Tales,28,Trilith Entertainment Ltd,European Games Group AG,10427,7299,0,2.43,-1,0,-1
,,,,,,,,,,
The Storm Guard: Darkness is Coming,47,Bitmen Studios,Bitmen Studios,3676,2888,0,4.24,42,84.2,677.45
,,,,,,,,,,
Egg Time,95,BartoÁ Studio,BartoÁ Studio,22158,5996,0,28,-1,0,-1
,,,,,,,,,,
Full Spectrum Warrior: Ten Hammers,28,Pandemic Studios,THQ Nordic,181433,20480,785,2.34,137,82.07,374.06
,,,,,,,,,,
AF-ZERO,,Recompile,Recompile,795,0,0,0,-1,0,-1
,,,,,,,,,,
Secret Files 3,17,Animation Arts,Deep Silver,24419,8140,0,1.59,123,84.41,4.02
,,,,,,,,,,
Fallen Mage (Restocked),,dev4play,dev4play,784,0,0,0,-1,0,-1
,,,,,,,,,,
SoulFrost,,Xitilon,Xitilon,10949,0,0,0,122,0,-1
,,,,,,,,,,
Cabela's Dangerous Hunts 2013,5,Cauldron,Activision,14077,8603,0,0.76,120,58.68,21.27
,,,,,,,,,,
Pilam Sky,100,BeagleGames,BeagleGames,32585,30500,2085,26,31,41.6,152.35
,,,,,,,,,,
DanceWall Remix,,Extreme Reality,Plug In Digital,3938,3151,0,3.67,-1,0,-1
,,,,,,,,,,
Sword of Asumi,33,Dharker Studio,Dharker Studio,86122,55927,0,2.73,79,52.6,8.98
,,,,,,,,,,
"Creature Clicker - Capture, Train, Ascend!",8,ColloseusX,Phat Phrog Studios,150414,142854,1176,0.97,108,91.5,300.12
,,,,,,,,,,
Nyctophilia,19,CAT IN JAR GAMES,CAT IN JAR GAMES,122356,51988,785,1.74,-1,0,-1
,,,,,,,,,,
MiniOne Racing,18,Frogames,Frogames,2363,1313,0,1.7,108,84.3,127.45
,,,,,,,,,,
Double Kick Heroes,,Headbang Club,Headbang Club,784,784,0,0,-1,0,-1
,,,,,,,,,,
Mini's Magic World,100,Magory.net,Magory.net,2085,1825,0,7,106,76,228.57
,,,,,,,,,,
Use Your Words,47,"Smiling Buddha Games, LLC",Screenwave Media,27044,24419,3151,4.12,42,65.5,60.06
,,,,,,,,,,
BattleRush,27,Thunder Devs.,Thunder Devs.,193512,157015,36234,2.3,-1,0,-1
,,,,,,,,,,
Etherlords,4,Nival,Nival,87435,13653,0,0.66,231,153.5,63.38
,,,,,,,,,,
That's Mahjong!,15,TotallyNotReptillian,TotallyNotReptillian,10765,5776,795,1.48,108,52.14,11.21
,,,,,,,,,,
Aporia: Beyond The Valley,65,Investigate North,Green Man Gaming Publishing,7614,4201,784,7.21,42,42.4,161.31
,,,,,,,,,,
Eldevin,42,Hunted Cow Studios,Hunted Cow Studios,379409,222394,788,3.55,-1,0,-1
,,,,,,,,,,
Perso,,Crepe Studios,Crepe Studios,795,0,0,0,53,82.67,62.26
,,,,,,,,,,
Draw Puzzle,99,Hen Wen Studio,indienova,14179,13391,2368,50.22,44,28.5,0.12
,,,,,,,,,,
Nancy Drew: Curse of Blackmoor Manor,86,HeR Interactive,HeR Interactive,19955,9978,0,14.33,43,111.09,263.93
,,,,,,,,,,
Shadow Tactics: Blades of the Shogun,97,Mimimi Productions,Daedalic Entertainment,424570,276483,31245,33.08,27,45,469.44
,,,,,,,,,,
Street Warriors Online,13,Crazy Rocks Studios,Crazy Rocks Studios,460279,300376,1838,1.34,752,0,-1
,,,,,,,,,,
Voidrunner,23,RealityArts Studio,RealityArts Studio,1172,1172,0,2,-1,0,-1
,,,,,,,,,,
"Star Wars: Battlefront 2 (Classic, 2005)",78,Pandemic Studios,"Lucasfilm, LucasArts, Disney Interactive",3124024,2485612,99060,11.44,56,69.45,21.45
,,,,,,,,,,
Twin Saga,28,X-Legend,Aeria Games,145462,105552,4726,2.41,-1,0,-1
,,,,,,,,,,
Legend of Fainn Dynasty Battles of Beautiful Warlords,23,Dieselmine,Dieselmine,8140,4989,785,2,112,0,-1
,,,,,,,,,,
Zigfrak,37,Entheogen Studios LLC,Entheogen Studios LLC,27111,20594,0,3.05,410,184.67,4.74
,,,,,,,,,,
hackmud,44,Drizzly Bear,Drizzly Bear,15754,14179,0,3.98,43,44.8,0.97
,,,,,,,,,,
Cloud Pirates,30,Allods Team,my.com,321644,252852,789,2.49,-1,0,-1
,,,,,,,,,,
Sniper Elite: Nazi Zombie Army 2,59,,Rebellion,445768,374341,2868,5.79,44,54.39,7.4
,,,,,,,,,,
Dust: An Elysian Tail,95,Humble Hearts LLC,Microsoft Studios,1152479,789348,6256,26.05,43,53.84,7.1
,,,,,,,,,,
Close Combat - Gateway to Caen,22,Slitherine Ltd.,Slitherine Ltd.,29407,22581,2368,1.86,107,112.55,6072.61
,,,,,,,,,,
WarBirds Dogfights 2016,5,iEntertainment Network Inc,iEntertainment Network Inc,784,784,0,0.75,231,265.5,3570.12
,,,,,,,,,,
Mortos,12,Cargiolli Luciano,JustPlayNow,3389,2607,0,1.25,108,66,52.36
,,,,,,,,,,
Playing History: Vikings,11,Serious Games Interactive,Serious Games Interactive,23631,2369,0,1.18,108,425.5,7381.12
,,,,,,,,,,
Merv Reborn,,Sub Orbital Software,Sub Orbital Software,789,0,0,0,100,0,-1
,,,,,,,,,,
Mad Driver,8,,,55664,50938,10240,0.97,89,70,0
,,,,,,,,,,
News Tycoon,10,Oreol,Oreol,6564,3676,785,1.08,108,109,84.5
,,,,,,,,,,
Jelly Killer,42,Immortal Game Studio,Immortal Game Studio,15380,11209,0,3.55,107,82.86,35.92
,,,,,,,,,,
Anachronox,39,,Square Enix,234997,32033,785,3.32,80,85.41,62.47
,,,,,,,,,,
Spellbound,40,Wobbly Duck Studios,Wobbly Duck Studios,782,781,0,3.4,-1,0,-1
,,,,,,,,,,
Voodoo Whisperer Curse of a Legend,12,Gogii Games,Strategy First,9978,1313,0,1.24,108,46.29,4.55
,,,,,,,,,,
Lumberjack VR,,Erik BrunnstrÌ¦m,Erik BrunstrÌ¦m,789,784,0,0,118,0,-1
,,,,,,,,,,
The Flesh God,,Nuberu Games,Nuberu Games,795,0,0,0,43,61,0
,,,,,,,,,,
The Prism,28,"Nikhil T, Gabriel H",The Wanderer,23368,2369,0,2.4,318,85.33,40.91
,,,,,,,,,,
Adventures of Bertram Fiddle: Episode 2: A Bleaker Predicklement,33,Rumpus,Deck13,2101,1050,0,2.73,46,43,161.33
,,,,,,,,,,
Tractorball,,Ninja Whale Studios,Ninja Whale Studios,789,789,784,0,-1,0,-1
,,,,,,,,,,
Ravager,,"Nikhil Tailor, Ariflare",Horse Beverages,4171,0,0,0,161,0,-1
,,,,,,,,,,
Darkwind: War on Wheels,5,Psychic Software,Psychic Software,242349,125244,0,0.75,-1,0,-1
,,,,,,,,,,
Citalis,16,Matt Hooper,Sometimes You,158590,145462,784,1.55,108,51.14,129.8
,,,,,,,,,,
Sandmason,56,GoodVole,GoodVole,13556,2085,0,5.33,95,50.28,7.07
,,,,,,,,,,
Wargame: Airland Battle,71,Eugen Systems,Focus Home Interactive,589199,419844,5251,8.41,27,39.24,29.56
,,,,,,,,,,
The East New World,11,TEN10 Games,TEN10 Games,2085,2085,0,1.17,108,91.83,4012.78
,,,,,,,,,,
Jump Like A Pirate,5,Pirate Games,Enjoy Games,58132,50312,781,0.76,108,64.25,50.77
,,,,,,,,,,
Ukrainian ball in search of gas,,"Nikita ""Ghost_RUS""",Ghost_RUS Games,795,0,0,0,-1,0,-1
,,,,,,,,,,
Cellz,,MGP,MGP,785,785,0,0,51,53,0
,,,,,,,,,,
Metal Assault,14,GNISoft,"Gravity Interactive, Inc.",99842,77944,778,1.42,-1,0,-1
,,,,,,,,,,
Oxygen Not Included,78,Klei Entertainment,Klei Entertainment,609154,586574,105552,10.46,40,21,32
,,,,,,,,,,
Ghost Encounters: Deadwood - Collector's Edition,8,Anarchy Enterprises,Anarchy Enterprises,25732,16017,0,0.98,85,60.56,57.9
,,,,,,,,,,
YangBo Adventure,,IM4A,IM4A,3413,2101,2101,0,-1,0,-1
,,,,,,,,,,
VERSUS SQUAD,49,DiezelPower,DiezelPower,37278,29457,18769,4.33,17,45.2,13.92
,,,,,,,,,,
Galcon Legends,4,"Hassey Enterprises, Inc.","Hassey Enterprises, Inc.",100563,33346,0,0.65,231,252.2,865.93
,,,,,,,,,,
Snow Fall,,EHTechnology,EHTechnology,2343,1172,1172,0,23,0,-1
,,,,,,,,,,
"Planes, Bullets and Vodka",65,NukGames,NukGames,50312,33367,1564,6.87,18,39.7,88.21
,,,,,,,,,,
Fleeting Ages,4,R&G Software,R&G Software,8863,1043,0,0.67,410,198.5,14706.12
,,,,,,,,,,
Insanity Clicker,24,PlayFlock,PlayFlock,404878,311929,3676,2.04,-1,0,-1
,,,,,,,,,,
Caretaker Sacrifice,74,Xiotex Studios Ltd,Xiotex Studios Ltd,782,782,0,9.5,80,77,88.17
,,,,,,,,,,
Slowdrive,92,onebraverobot,onebraverobot,1313,795,0,22,80,52.25,5.64
,,,,,,,,,,
Gods of the Fallen Land,74,"Crow's Key Studios, LLC","Crow's Key Studios, LLC",1050,1050,0,9,42,28.5,0.12
,,,,,,,,,,
C-Wars,13,Onipunks Studio Inc.,Onipunks Studio Inc.,3676,2745,0,1.28,695,27.6,0.03
,,,,,,,,,,
Diner Dash: Hometown Hero,2,PlayFirst,PlayFirst,11028,8402,0,0.51,1868,121.17,744.45
,,,,,,,,,,
Surviving in the forest,,Dexion Games,Dexion Games,8140,1176,0,0,108,0,-1
,,,,,,,,,,
Stardrift Nomads,,Risen Games,Risen Games,1578,789,0,0,49,89,420.5
,,,,,,,,,,
HEPH,30,"Creature of the Rise co.,ltd.","Creature of the Rise co.,ltd.",1184,795,0,2.5,302,0,-1
,,,,,,,,,,
HoPiKo,42,Laser Dog,Merge Games,90457,20333,785,3.61,17,54.29,16.4
,,,,,,,,,,
Bayou Island - Point and Click Adventure,16,Andy Howard Games,Andy Howard Games,11553,789,0,1.5,312,0,-1
,,,,,,,,,,
DLC Quest,67,Going Loud Studios,Going Loud Studios,418268,386235,2363,7.59,43,86.85,8.65
,,,,,,,,,,
INIT.,0,Narrow Monolith,Narrow Monolith,2363,1961,0,0.21,231,287.67,10053.37
,,,,,,,,,,
FortressCraft Evolved!,35,ProjectorGames,Digital Tribe,118680,104764,4201,2.97,32,61.27,2.4
,,,,,,,,,,
Call of Duty: Ghosts,13,Infinity Ward,Activision,1462692,1236941,13295,1.35,130,58.46,46.64
,,,,,,,,,,
Making History II: The War of the World,40,Muzzy Lane Software,Factus Games,47787,31508,789,3.43,79,110.12,1.97
,,,,,,,,,,
10 Second Ninja,62,Four Circle Interactive,Mastertronic,73252,42491,1043,6.56,42,86.62,24.07
,,,,,,,,,,
Collapse,30,Creoteam,Buka Entertainment,42491,25808,0,2.56,84,53.21,28.62
,,,,,,,,,,
Evangeline,13,Raconteur Games,Raconteur Games,789,0,0,1.38,108,86.33,197.37
,,,,,,,,,,
"Buccaneers, Bounty & Boom!",,Iron Helmet Games,Iron Helmet Games,795,795,0,0,231,112,0
,,,,,,,,,,
Operation Breakout,5,SGTTB_Studios,SGTTB_Studios,83759,78245,2888,0.77,410,61,0
,,,,,,,,,,
Above: The Fallen,,Team Above,N/A,795,0,0,0,144,0,-1
,,,,,,,,,,
Playing History 2 - Slave Trade,21,Serious Games Interactive,Serious Games Interactive,25206,3413,0,1.85,108,264,17025.33
,,,,,,,,,,
Dragon Blood,5,TeamTop Games,101XP,29933,12866,0,0.73,-1,0,-1
,,,,,,,,,,
80.08,,CloudScapeGT,CloudScapeGT,795,0,0,0,-1,0,-1
,,,,,,,,,,
Lost In Woods 2,13,Crouching Fox,Dagestan Technology,169355,143361,0,1.33,95,44,13.44
,,,,,,,,,,
Danmaku Unlimited 2,89,Doragon Entertainment,Doragon Entertainment,44316,19030,784,16.38,42,91.47,2.04
,,,,,,,,,,
Death to Spies,33,Haggard Games,1C Company,90196,36756,0,2.81,79,96.08,120.86
,,,,,,,,,,
The Inner World - The Last Wind Monk,82,Studio Fizbin,"Headup Games, Kalypso Media Digital",5514,3413,795,13.2,42,33.5,0.12
,,,,,,,,,,
City of Brass,95,Uppercut Games Pty Ltd,Uppercut Games Pty Ltd,2085,1825,0,27.67,43,31.67,23.15
,,,,,,,,,,
Port Royale 2,22,Ascaron Entertainment ltd.,Strategy First,84284,61441,790,1.9,106,108.48,274.94
,,,,,,,,,,
Tomato Jones,53,HA Studio Ltd.,HA Studio Ltd.,3389,1303,0,4.94,45,58.78,280.25
,,,,,,,,,,
Injustice: Gods Among Us Ultimate Edition,62,"NetherRealm Studios, High Voltage Software",Warner Bros. Interactive Entertainment,1031001,904831,12773,6.25,43,45.67,11.72
,,,,,,,,,,
NEO-NOW!,,ma_mutte,ma_mutte,17067,9715,785,3,249,76.5,1425.06
,,,,,,,,,,
Dolguth,100,Boiagames,20Tab,795,0,0,3,-1,0,-1
,,,,,,,,,,
ROM: Extraction,25,First Contact Entertainment,First Contact Entertainment,4953,4432,0,2.21,108,108.67,219.59
,,,,,,,,,,
"In Case of Emergency, Release Raptor",23,"Arcen Games, LLC","Arcen Games, LLC",25026,3910,0,2,-1,0,-1
,,,,,,,,,,
Tompi Jones,2,DreamsSoftGames,DreamsSoftGames,67778,3650,0,0.51,84,298,67200.33
,,,,,,,,,,
Planet of the Eyes,51,Cococucumber,Cococucumber,74555,15641,0,4.58,42,60.71,3.79
,,,,,,,,,,
Solstice Arena,,Zynga,Zynga,214779,84284,0,4.44,-1,0,-1
,,,,,,,,,,
My Vet Practice,,"Sproing, Neopica",Anikids,789,784,0,0,108,243,0
,,,,,,,,,,
Construction Machines 2014,0,GameCask,GameCask,42798,12603,0,0.13,88,52.67,34.24
,,,,,,,,,,
1979 Revolution: Black Friday,39,"iNK Stories, N-Fusion Interactive",iNK Stories,29933,17329,0,3.24,79,54.18,15.8
,,,,,,,,,,
Zero-G VR,30,Linkus Studio,Linkus Studio,6302,4989,0,2.55,410,52.33,249.04
,,,,,,,,,,
Outer Rim,,Outer Rim Studios LLC,Outer Rim Studios LLC,1570,0,0,0,108,0,-1
,,,,,,,,,,
Police Adventure,,Fantasy-Gaming,Fantasy-Gaming,2353,0,0,0,23,66.5,6.12
,,,,,,,,,,
35MM,28,___„_¼____ _Á_µ„Û___µ__,___„_¼____ _Á_µ„Û___µ__,93999,67742,1575,2.44,79,66.75,182.88
,,,,,,,,,,
Critical Annihilation,89,Devoga,Devoga,10949,10688,778,16.27,42,62.5,185.28
,,,,,,,,,,
Sword With Sauce: Alpha,78,Diatomic Games,Diatomic Games,162145,154064,11209,10.7,-1,0,-1
,,,,,,,,,,
Defragmented,25,Glass Knuckle Games,Glass Knuckle Games,7820,5735,0,2.17,108,208.33,4231.26
,,,,,,,,,,
The Grand Ball,,Last Lotus,Last Lotus,1050,788,0,0,79,72.5,91.12
,,,,,,,,,,
Enoch: Underground,,Unwhale Studio,Unwhale Studio,795,0,0,0,-1,0,-1
,,,,,,,,,,
Ghost Croquet,100,"ampersandbear, YellowAfterlife",ampersandbear,781,778,0,12,317,210,0
,,,,,,,,,,
Pirates: Treasure Hunters,,Virtual Toys,Virtual Toys,89936,37017,0,1.9,-1,0,-1
,,,,,,,,,,
Overkill VR: Action Shooter FPS,51,Starloop Studios,Game Troopers,14598,13034,1043,4.84,33,48.12,111.56
,,,,,,,,,,
Fury Of The Gods,37,Spectral Games,Libredia,4953,1043,0,3,108,109.75,516.01
,,,,,,,,,,
Caribbean!,,Snowbird Games,Snowbird Games,41486,40698,0,1.44,798,76.57,4.21
,,,,,,,,,,
Virtual Sports,56,Free Range Games,Vive Studios,1303,1171,778,5.5,49,135,1250
,,,,,,,,,,
DRAGON BALL XENOVERSE,67,DIMPS,BANDAI NAMCO Entertainment,690028,665524,13295,7.76,43,57.62,147.77
,,,,,,,,,,
The Impossible Game,59,Grip Games,FlukeDude,70630,60653,1579,6.12,737,213.33,9785.04
,,,,,,,,,,
Risen 2: Dark Waters,40,Piranha Bytes,Deep Silver,1233800,637512,3151,3.47,79,48.8,25.92
,,,,,,,,,,
Karos,11,Galaxy Gate,NIKITA ONLINE,357090,138373,1579,1.15,-1,0,-1
,,,,,,,,,,
Black Hole Hazard,74,Superthumb,Superthumb,1564,1569,0,9.67,67,46.1,19.32
,,,,,,,,,,
Worms,59,Team17 Digital Ltd,Team17 Digital Ltd,305102,69055,784,5.96,44,54.02,19.16
,,,,,,,,,,
Vietnam 65,44,Every Single Soldier,Slitherine Ltd.,21530,15491,0,3.98,81,90.36,2804.38
,,,,,,,,,,
Storage Inc 2,21,Stolpskott Studios,Stolpskott Studios,789,789,0,1.78,352,0,-1
,,,,,,,,,,
Pocket God vs Desert Ashes,3,"Nine Tales Digital, Bolt Creative",Nine Tales Digital,17067,1575,0,0.58,410,71,2.29
,,,,,,,,,,
Vampires: Guide Them to Safety!,71,CBE software s.r.o.,CBE software s.r.o.,8140,5514,0,8.75,226,163.17,3961.23
,,,,,,,,,,
Soda Drinker Pro,78,Snowrunner Games,Snowrunner Games,7299,5214,781,10.76,42,110.25,5681.39
,,,,,,,,,,
Reroll: Back to the throne,47,Chess no choke games,Chess no choke games,2101,784,0,4,-1,0,-1
,,,,,,,,,,
DOOM 3,67,id Software,id Software,475225,308388,5214,7.58,43,59.3,68.58
,,,,,,,,,,
Atlantis 2: Beyond Atlantis,3,"Cryo Interactive, Koalabs",Microids,14966,2101,0,0.59,88,72.23,20.26
,,,,,,,,,,
Machine Made: Rebirth,97,Proteus Studios,Sometimes You,189573,166467,3938,40,108,58.12,14.78
,,,,,,,,,,
Omega Quintet,53,Idea Factory,Ghostlight LTD,4989,3151,1974,5,42,0,-1
,,,,,,,,,,
Super Mixtape,100,Polygrammatic Limited,Polygrammatic Limited,5251,2626,795,14,44,72.33,271.13
,,,,,,,,,,
Whirlpool,,"Ward Mahadin, Aaram Mahadin, Nehaia Halabeieh",Ward Mahadin,1838,785,785,0,-1,0,-1
,,,,,,,,,,
Half-Life: A Place in the West,67,"Michael Pelletier, Ross Joseph Gardner","Michael Pelletier, Ross Joseph Gardner",86122,40960,795,7.34,-1,0,-1
,,,,,,,,,,
Zup! 4,65,Quiet River,Quiet River,91373,71681,1313,7.08,42,43.43,93.41
,,,,,,,,,,
QUAKE,92,id Software,id Software,438469,229922,3650,22.41,43,74.94,375.95
,,,,,,,,,,
Devouring Stars,40,Nerial,BulkyPix,3151,2888,0,3.43,735,55.25,2150.64
,,,,,,,,,,
Void 21,44,Taranasus Studio,Taranasus Studio,1043,782,0,3.83,472,105,50
,,,,,,,,,,
Mount Wingsuit,42,Ninja Whale Studios,Ninja Whale Studios,3910,3650,784,3.75,95,79.5,138.06
,,,,,,,,,,
TTV2,97,Walter Machado,Walter Machado,1564,784,0,37,16,32,42.25
,,,,,,,,,,
Lucid9: Inciting Incident,82,Fallen Snow Studios,Sekai Project,113429,49100,1838,12.58,-1,0,-1
,,,,,,,,,,
Witch and Hero(),82,"FK Digital, Flyhigh Works","Flyhigh Works, CIRCLE Entertainment",2346,2346,0,11.67,413,123.5,4753.12
,,,,,,,,,,
Environmental Station Alpha,82,"Arvi Teikari, Roope MÌ_kinen",Hempuli Oy,40927,20594,1176,12.52,43,138.86,1127.94
,,,,,,,,,,
The Mimic,,Silhouette Wolf,Silhouette Wolf,785,785,785,0,44,0,-1
,,,,,,,,,,
Ascension VR,62,Temple Gates Games,Temple Gates Games,1575,1313,0,6.5,44,92.5,1653.12
,,,,,,,,,,
Forgotten Ball,62,littleGigantic,littleGigantic,1050,785,0,6.5,226,160,4033.33
,,,,,,,,,,
Planet R-12,53,"Timushev Vladimir, Composer-Motorin Dmitry (Djinotan)",Timushev Vladimir,76932,64591,1184,4.9,20,49.4,17.93
,,,,,,,,,,
Uncrowded,1,Kotach,"Kotach, MyLifeGame.RU",364967,277008,3413,0.38,-1,0,-1
,,,,,,,,,,
BlazBlue: Chronophantasma Extend,82,Arc System Works,"H2 Interactive Co., Ltd.",270068,133209,7038,11.63,43,54.75,0.13
,,,,,,,,,,
Grimsfield,74,Adam Wells,Adam Wells,795,0,0,9.5,638,0,-1
,,,,,,,,,,
Villagers and Heroes,13,Mad Otter Games,Mad Otter Games,747790,432710,4735,1.3,-1,0,-1
,,,,,,,,,,
Star Traders: Frontiers,86,Trese Brothers,Trese Brothers,8140,6564,2363,14.64,12,38,0.5
,,,,,,,,,,
Happy Wars,40,Toylogic inc.,Toylogic inc.,1940629,1233538,1578,3.45,-1,0,-1
,,,,,,,,,,
Chowdertwo,,Ryan Jensen,Ryan Jensen,4171,3128,0,0,110,124,1352
,,,,,,,,,,
BioShock,89,"2K Boston, 2K Australia",2K Games,3863061,2427480,7299,17.14,-1,0,-1
,,,,,,,,,,
Tinertia,95,"Candescent Games, Section Studios",Candescent & Section,3910,2868,0,26.67,42,84,28.9
,,,,,,,,,,
Lord of Djinn,,Lightray Games,Lightray Games,795,0,0,0,239,0,-1
,,,,,,,,,,
Fractured State,,Mechanical Monocle,GPAC,788,790,0,0,226,80,0
,,,,,,,,,,
Warriors: Rise to Glory!,,Gavra Games,Gavra Games,784,0,0,0,-1,0,-1
,,,,,,,,,,
Treasure Adventure World,,Robit Games,Chucklefish,795,0,0,0,-1,0,-1
,,,,,,,,,,
RunGunJumpGun,78,ThirtyThree,Good Shepherd Entertainment,10688,7038,0,10.14,42,59.75,15.82
,,,,,,,,,,
TurretCraft,,Antropi,Antropi,795,795,0,0,79,79,0.33
,,,,,,,,,,
VolChaos,44,Fun Infused Games,Fun Infused Games,15902,9906,0,3.86,107,82.1,167.28
,,,,,,,,,,
Battle Mages,22,Targem Games,Buka Entertainment,16804,11028,784,1.88,108,55.68,97.52
,,,,,,,,,,
Monument,5,D-Games,D-Games,45098,43534,781,0.71,231,43.88,42.51
,,,,,,,,,,
Rescue Love Revenge,,"Hatchlight, Trepid Studios",Rich Pine,26850,1303,785,0,49,105.75,523.27
,,,,,,,,,,
Hamilton's Great Adventure,25,Fatshark,Fatshark,97937,62753,0,2.16,54,77.16,71.75
,,,,,,,,,,
Aura Kingdom,44,X-Legend,Aeria Games,2656123,1244565,23894,3.92,-1,0,-1
,,,,,,,,,,
Star Trek : 25th Anniversary,89,Interplay Entertainment Corp.,Interplay Entertainment Corp.,9385,7038,0,18.67,42,58,83.77
,,,,,,,,,,
Plain Sight,27,Beatnik Games,Beatnik Games,168923,105577,0,2.32,1506,92.75,393.88
,,,,,,,,,,
Last Anime boy: Saving loli,30,CSM,W.T.B.,2346,785,0,2.56,86,0,-1
,,,,,,,,,,
It's Killing Time,21,Choice of Games,Choice of Games,1184,0,0,1.8,108,184.33,1481.48
,,,,,,,,,,
BLUE REFLECTION / BLUE REFLECTION,49,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",4989,4464,1568,4.46,135,0,-1
,,,,,,,,,,
Vector,62,,Nekki GmbH,43013,32585,784,6.27,227,129.7,1270.13
,,,,,,,,,,
